ano;qtde_ocorrencias;crime;regiao;estado
2011;3;Homicidio culposo de transito;sudeste;minas gerais
2011;354;Homicidio culposo de transito;centro-oeste;mato grosso do sul
2011;465;Homicidio culposo de transito;centro-oeste;mato grosso
2011;562;Homicidio culposo de transito;norte;para
2011;353;Homicidio culposo de transito;nordeste;paraiba
2011;11;Homicidio culposo de transito;nordeste;pernambuco
2011;302;Homicidio culposo de transito;nordeste;piaui
2011;2336;Homicidio culposo de transito;sul;parana
2011;2118;Homicidio culposo de transito;sudeste;rio de janeiro
2011;230;Homicidio culposo de transito;nordeste;rio grande do norte
2011;262;Homicidio culposo de transito;norte;rondonia
2011;21;Homicidio culposo de transito;norte;roraima
2011;1831;Homicidio culposo de transito;sul;rio grande do sul
2011;956;Homicidio culposo de transito;sul;santa catarina
2011;330;Homicidio culposo de transito;nordeste;sergipe
2011;4779;Homicidio culposo de transito;sudeste;sao paulo
2011;153;Homicidio culposo de transito;norte;tocantins
2012;149;Homicidio culposo de transito;norte;acre
2012;265;Homicidio culposo de transito;nordeste;alagoas
2012;267;Homicidio culposo de transito;norte;amazonas
2012;59;Homicidio culposo de transito;norte;amapa
2012;980;Homicidio culposo de transito;nordeste;bahia
2012;1019;Homicidio culposo de transito;nordeste;ceara
2012;290;Homicidio culposo de transito;centro-oeste;distrito federal
2012;255;Homicidio culposo de transito;sudeste;espirito santo
2012;934;Homicidio culposo de transito;centro-oeste;goias
2012;634;Homicidio culposo de transito;nordeste;maranhao
2012;0;Homicidio culposo de transito;sudeste;minas gerais
2012;459;Homicidio culposo de transito;centro-oeste;mato grosso do sul
2012;455;Homicidio culposo de transito;centro-oeste;mato grosso
2012;1252;Homicidio culposo de transito;norte;para
2012;279;Homicidio culposo de transito;nordeste;paraiba
2012;11;Homicidio culposo de transito;nordeste;pernambuco
2012;458;Homicidio culposo de transito;nordeste;piaui
2012;408;Homicidio culposo de transito;sul;parana
2012;2005;Homicidio culposo de transito;sudeste;rio de janeiro
2012;188;Homicidio culposo de transito;nordeste;rio grande do norte
2012;254;Homicidio culposo de transito;norte;rondonia
2012;64;Homicidio culposo de transito;norte;roraima
2012;1854;Homicidio culposo de transito;sul;rio grande do sul
2012;1112;Homicidio culposo de transito;sul;santa catarina
2012;419;Homicidio culposo de transito;nordeste;sergipe
2012;4628;Homicidio culposo de transito;sudeste;sao paulo
2012;170;Homicidio culposo de transito;norte;tocantins
2013;94;Homicidio culposo de transito;norte;acre
2013;543;Homicidio culposo de transito;nordeste;alagoas
2013;375;Homicidio culposo de transito;norte;amazonas
2013;167;Homicidio culposo de transito;norte;amapa
2013;0;Homicidio culposo de transito;nordeste;bahia
2013;978;Homicidio culposo de transito;nordeste;ceara
2013;318;Homicidio culposo de transito;centro-oeste;distrito federal
2013;261;Homicidio culposo de transito;sudeste;espirito santo
2013;1037;Homicidio culposo de transito;centro-oeste;goias
2013;458;Homicidio culposo de transito;nordeste;maranhao
2013;1671;Homicidio culposo de transito;sudeste;minas gerais
2013;433;Homicidio culposo de transito;centro-oeste;mato grosso do sul
2013;428;Homicidio culposo de transito;centro-oeste;mato grosso
2013;1506;Homicidio culposo de transito;norte;para
2013;0;Homicidio culposo de transito;nordeste;paraiba
2013;1725;Homicidio culposo de transito;nordeste;pernambuco
2013;363;Homicidio culposo de transito;nordeste;piaui
2013;415;Homicidio culposo de transito;sul;parana
2013;2231;Homicidio culposo de transito;sudeste;rio de janeiro
2013;110;Homicidio culposo de transito;nordeste;rio grande do norte
2013;275;Homicidio culposo de transito;norte;rondonia
2013;0;Homicidio culposo de transito;norte;roraima
2013;0;Homicidio culposo de transito;sul;rio grande do sul
2013;1474;Homicidio culposo de transito;sul;santa catarina
2013;419;Homicidio culposo de transito;nordeste;sergipe
2013;4195;Homicidio culposo de transito;sudeste;sao paulo
2013;133;Homicidio culposo de transito;norte;tocantins
2014;0;Homicidio culposo de transito;norte;acre
2014;166;Homicidio culposo de transito;nordeste;alagoas
2014;310;Homicidio culposo de transito;norte;amazonas
2014;98;Homicidio culposo de transito;norte;amapa
2014;819;Homicidio culposo de transito;nordeste;bahia
2014;815;Homicidio culposo de transito;nordeste;ceara
2014;324;Homicidio culposo de transito;centro-oeste;distrito federal
2014;424;Homicidio culposo de transito;sudeste;espirito santo
2014;1090;Homicidio culposo de transito;centro-oeste;goias
2014;533;Homicidio culposo de transito;nordeste;maranhao
2014;0;Homicidio culposo de transito;sudeste;minas gerais
2014;418;Homicidio culposo de transito;centro-oeste;mato grosso do sul
2014;484;Homicidio culposo de transito;centro-oeste;mato grosso
2014;1523;Homicidio culposo de transito;norte;para
2014;328;Homicidio culposo de transito;nordeste;paraiba
2014;14;Homicidio culposo de transito;nordeste;pernambuco
2014;373;Homicidio culposo de transito;nordeste;piaui
2014;1716;Homicidio culposo de transito;sul;parana
2014;1820;Homicidio culposo de transito;sudeste;rio de janeiro
2014;172;Homicidio culposo de transito;nordeste;rio grande do norte
2014;223;Homicidio culposo de transito;norte;rondonia
2014;12;Homicidio culposo de transito;norte;roraima
2014;1225;Homicidio culposo de transito;sul;rio grande do sul
2014;1188;Homicidio culposo de transito;sul;santa catarina
2014;366;Homicidio culposo de transito;nordeste;sergipe
2014;4410;Homicidio culposo de transito;sudeste;sao paulo
2014;183;Homicidio culposo de transito;norte;tocantins
2015;24;Homicidio culposo de transito;norte;acre
2015;129;Homicidio culposo de transito;nordeste;alagoas
2015;349;Homicidio culposo de transito;norte;amazonas
2015;77;Homicidio culposo de transito;norte;amapa
2015;673;Homicidio culposo de transito;nordeste;bahia
2015;673;Homicidio culposo de transito;nordeste;ceara
2015;293;Homicidio culposo de transito;centro-oeste;distrito federal
2015;420;Homicidio culposo de transito;sudeste;espirito santo
2015;895;Homicidio culposo de transito;centro-oeste;goias
2015;528;Homicidio culposo de transito;nordeste;maranhao
2015;0;Homicidio culposo de transito;sudeste;minas gerais
2015;356;Homicidio culposo de transito;centro-oeste;mato grosso do sul
2015;457;Homicidio culposo de transito;centro-oeste;mato grosso
2015;1413;Homicidio culposo de transito;norte;para
2015;946;Homicidio culposo de transito;nordeste;paraiba
2015;5;Homicidio culposo de transito;nordeste;pernambuco
2015;353;Homicidio culposo de transito;nordeste;piaui
2015;340;Homicidio culposo de transito;sul;parana
2015;1538;Homicidio culposo de transito;sudeste;rio de janeiro
2015;0;Homicidio culposo de transito;nordeste;rio grande do norte
2015;260;Homicidio culposo de transito;norte;rondonia
2015;44;Homicidio culposo de transito;norte;roraima
2015;960;Homicidio culposo de transito;sul;rio grande do sul
2015;977;Homicidio culposo de transito;sul;santa catarina
2015;340;Homicidio culposo de transito;nordeste;sergipe
2015;3560;Homicidio culposo de transito;sudeste;sao paulo
2015;201;Homicidio culposo de transito;norte;tocantins
2016;25;Homicidio culposo de transito;norte;acre
2016;110;Homicidio culposo de transito;nordeste;alagoas
2016;240;Homicidio culposo de transito;norte;amazonas
2016;78;Homicidio culposo de transito;norte;amapa
2016;606;Homicidio culposo de transito;nordeste;bahia
2016;475;Homicidio culposo de transito;nordeste;ceara
2016;345;Homicidio culposo de transito;centro-oeste;distrito federal
2016;0;Homicidio culposo de transito;sudeste;espirito santo
2016;731;Homicidio culposo de transito;centro-oeste;goias
2016;547;Homicidio culposo de transito;nordeste;maranhao
2016;97;Homicidio culposo de transito;sudeste;minas gerais
2016;322;Homicidio culposo de transito;centro-oeste;mato grosso do sul
2016;491;Homicidio culposo de transito;centro-oeste;mato grosso
2016;0;Homicidio culposo de transito;norte;para
2016;946;Homicidio culposo de transito;nordeste;paraiba
2016;15;Homicidio culposo de transito;nordeste;pernambuco
2016;226;Homicidio culposo de transito;nordeste;piaui
2016;448;Homicidio culposo de transito;sul;parana
2016;1525;Homicidio culposo de transito;sudeste;rio de janeiro
2016;0;Homicidio culposo de transito;nordeste;rio grande do norte
2016;244;Homicidio culposo de transito;norte;rondonia
2016;32;Homicidio culposo de transito;norte;roraima
2016;998;Homicidio culposo de transito;sul;rio grande do sul
2016;1046;Homicidio culposo de transito;sul;santa catarina
2016;279;Homicidio culposo de transito;nordeste;sergipe
2016;3507;Homicidio culposo de transito;sudeste;sao paulo
2016;68;Homicidio culposo de transito;norte;tocantins
2007;1;Latrocinio;norte;acre
2007;26;Latrocinio;nordeste;alagoas
2007;24;Latrocinio;norte;amazonas
2007;5;Latrocinio;norte;amapa
2007;122;Latrocinio;nordeste;bahia
2007;126;Latrocinio;nordeste;ceara
2007;49;Latrocinio;centro-oeste;distrito federal
2007;10;Latrocinio;sudeste;espirito santo
2007;57;Latrocinio;centro-oeste;goias
2007;82;Latrocinio;nordeste;maranhao
2007;82;Latrocinio;sudeste;minas gerais
2007;22;Latrocinio;centro-oeste;mato grosso do sul
2007;43;Latrocinio;centro-oeste;mato grosso
2007;242;Latrocinio;norte;para
2007;32;Latrocinio;nordeste;paraiba
2007;109;Latrocinio;nordeste;pernambuco
2007;2;Latrocinio;nordeste;piaui
2007;0;Latrocinio;sul;parana
2007;163;Latrocinio;sudeste;rio de janeiro
2007;39;Latrocinio;nordeste;rio grande do norte
2007;22;Latrocinio;norte;rondonia
2007;1;Latrocinio;norte;roraima
