ano,sigla_uf,estado,qtd_armas,regiao
2016,MS,Mato Grosso do Sul,228,CENTRO-OESTE
2016,MT,Mato Grosso,113,CENTRO-OESTE
2016,PA,Para,98,NORTE
2016,PB,Paraiba,76,NORDESTE
2016,PE,Pernambuco,874,NORDESTE
2016,PI,Piaui,22,NORDESTE
2016,PR,Parana,526,SUL
2016,RJ,Rio de Janeiro,1432,SUDESTE
2016,RN,Rio Grande do Norte,105,NORDESTE
2016,RO,Rondonia,23,NORTE
2016,RR,Roraima,7,NORTE
2016,RS,Rio Grande do Sul,990,SUL
2016,SC,Santa Catarina,242,SUL
2016,SE,Sergipe,33,NORDESTE
2016,SP,Sao Paulo,6291,SUDESTE
2016,TO,Tocantins,6,NORTE
2017,AC,Acre,36,NORTE
2017,AL,Alagoas,143,NORDESTE
2017,AM,Amazonas,44,NORTE
2017,AP,Amapa,16,NORTE
2017,BA,Bahia,138,NORDESTE
2017,CE,Ceara,109,NORDESTE
2017,DF,Distrito Federal,247,CENTRO-OESTE
2017,ES,Espirito Santo,63,SUDESTE
2017,GO,Goias,85,CENTRO-OESTE
2017,MA,Maranhao,281,NORDESTE
2017,MG,Minas Gerais,1688,SUDESTE
2017,MS,Mato Grosso do Sul,101,CENTRO-OESTE
2017,MT,Mato Grosso,66,CENTRO-OESTE
2017,PA,Para,59,NORTE
2017,PB,Paraiba,78,NORDESTE
2017,PE,Pernambuco,556,NORDESTE
2017,PI,Piaui,30,NORDESTE
2017,PR,Parana,454,SUL
2017,RJ,Rio de Janeiro,1031,SUDESTE
2017,RN,Rio Grande do Norte,61,NORDESTE
2017,RO,Rondonia,15,NORTE
2017,RR,Roraima,1,NORTE
2017,RS,Rio Grande do Sul,938,SUL
2017,SC,Santa Catarina,203,SUL
2017,SE,Sergipe,21,NORDESTE
2017,SP,Sao Paulo,8589,SUDESTE
2017,TO,Tocantins,12,NORTE
