ESTADO;REGIAO;TIPO;QTD_UNIVERSIDADES;QTD_CENTROS_UNIVERSITARIOS;QTD_FACULDADES;QTD_INSTITUTOS_FEDERAIS;TOTAL_INSTITUICOES;MATRICULADOS_FEMININO;MATRICULADOS_MASCULINO;TOTAL_CONCLUINTE_FEMININO;TOTAL_CONCLUINTE_MASCULINO;ORIUNDOS_PUBLICA;ORIUNDOS_PRIVADA
Parana;Sul;Estadual;7;0;0;0;7;43718;30977;6788;3856;45596;29057
Parana;Sul;Privada;5;19;158;0;182;232533;165481;40072;25866;320258;76849
Parana;Sul;Federal;3;0;0;1;4;29833;38312;3996;3888;37358;30736
Parana;Sul;Municipal;0;1;2;0;3;925;715;213;147;1478;160
Pernambuco;Nordeste;Federal;3;0;0;2;5;27298;27692;3621;2693;29847;23529
Pernambuco;Nordeste;Estadual;1;0;0;0;1;9686;7851;1404;815;11800;4909
Pernambuco;Nordeste;Privada;1;11;77;0;89;114000;80590;16806;11503;126896;66300
Pernambuco;Nordeste;Municipal;0;0;22;0;22;9043;6481;1709;992;12060;3241
Piaui;Nordeste;Federal;1;0;0;1;2;20480;17574;3867;2388;27890;10109
Piaui;Nordeste;Estadual;1;0;0;0;1;9481;6703;1340;767;13483;2625
Piaui;Nordeste;Municipal;0;0;0;0;0;0;0;0;0;0;0
Piaui;Nordeste;Privada;0;2;40;0;42;44678;30243;6041;3481;47196;27574
Rio de Janeiro;Sudeste;Privada;11;18;80;0;109;303562;227330;46652;32180;293986;232766
Rio de Janeiro;Sudeste;Federal;4;2;3;3;12;75800;70464;8798;6806;68208;73207
Rio de Janeiro;Sudeste;Estadual;2;1;10;0;13;23299;15605;3206;1596;22616;16002
Rio de Janeiro;Sudeste;Municipal;0;0;2;0;2;544;772;41;48;893;422
Rio Grande do Norte;Nordeste;Federal;2;0;0;1;3;18676;22955;2561;2783;21166;20463
Rio Grande do Norte;Nordeste;Estadual;1;0;1;0;2;5618;4044;858;487;577;9085
Rio Grande do Norte;Nordeste;Privada;1;2;21;0;24;39177;27353;6978;4583;42516;23816
Rio Grande do Norte;Nordeste;Municipal;0;0;0;0;0;0;0;0;0;0;0
Rio Grande do Sul;Sul;Privada;14;7;90;0;111;238389;169273;36454;22827;295733;109225
Rio Grande do Sul;Sul;Federal;6;0;0;3;9;56982;50955;7579;5429;80240;27591
Rio Grande do Sul;Sul;Estadual;1;0;0;0;1;2335;1654;292;120;3438;545
Rio Grande do Sul;Sul;Municipal;0;0;0;0;0;0;0;0;0;0;0
Rondonia;Norte;Federal;1;0;0;1;2;6998;5384;842;482;10979;1360
Rondonia;Norte;Estadual;0;0;0;0;0;0;0;0;0;0;0
Rondonia;Norte;Municipal;0;0;0;0;0;0;0;0;0;0;0
Rondonia;Norte;Privada;0;2;31;0;33;40071;25729;6600;3786;51545;14177
Roraima;Norte;Federal;1;0;0;1;2;4397;3707;488;310;2375;5718
Roraima;Norte;Estadual;1;0;0;0;1;1120;810;199;75;1760;170
Roraima;Norte;Municipal;0;0;0;0;0;0;0;0;0;0;0
Roraima;Norte;Privada;0;1;4;0;5;9651;6156;1295;789;4135;5888
Santa Catarina;Sul;Privada;9;10;70;0;89;177835;123980;28668;17748;211991;89216
Santa Catarina;Sul;Federal;2;0;0;2;4;19384;22856;2400;2100;22403;19825
Santa Catarina;Sul;Estadual;1;0;0;0;1;6385;5931;1014;626;7076;5184
Santa Catarina;Sul;Municipal;1;1;1;0;3;6069;4387;1214;752;6347;4092
São Paulo;Sudeste;Privada;29;65;412;0;506;989866;710673;176619;113429;1322023;374828
São Paulo;Sudeste;Estadual;4;1;72;0;77;99894;130633;14747;16621;126937;103553
São Paulo;Sudeste;Federal;3;0;1;1;5;23643;29963;3534;3753;29848;23375
São Paulo;Sudeste;Municipal;2;5;17;0;24;24967;19757;5030;3559;32201;12229
Sergipe;Nordeste;Federal;1;0;0;1;2;14158;12821;1863;1292;17702;9165
Sergipe;Nordeste;Privada;1;0;16;0;17;33407;21377;5203;3052;35504;18975
Sergipe;Nordeste;Estadual;0;0;0;0;0;0;0;0;0;0;0
Sergipe;Nordeste;Municipal;0;0;0;0;0;0;0;0;0;0;0
Tocantins;Norte;Federal;1;0;0;1;2;10820;9238;1401;886;13949;5774
Tocantins;Norte;Estadual;1;0;0;0;1;1264;792;410;152;1741;315
Tocantins;Norte;Municipal;0;1;1;0;2;2890;1896;468;225;603;4165
Tocantins;Norte;Privada;0;2;17;0;19;26448;17268;3803;2159;35812;7696
