ano,qtde_ocorrencias,crime,regiao,estado
2014,3,Policiais Mortos em Servico,centro-oeste,distrito federal
2014,1,Policiais Mortos em Servico,sudeste,espirito santo
2014,0,Policiais Mortos em Servico,centro-oeste,goias
2014,2,Policiais Mortos em Servico,nordeste,maranhao
2014,6,Policiais Mortos em Servico,sudeste,minas gerais
2014,8,Policiais Mortos em Servico,centro-oeste,mato grosso do sul
2014,6,Policiais Mortos em Servico,centro-oeste,mato grosso
2014,6,Policiais Mortos em Servico,norte,para
2014,0,Policiais Mortos em Servico,nordeste,paraiba
2014,4,Policiais Mortos em Servico,nordeste,pernambuco
2014,0,Policiais Mortos em Servico,nordeste,piaui
2014,4,Policiais Mortos em Servico,sul,parana
2014,18,Policiais Mortos em Servico,sudeste,rio de janeiro
2014,4,Policiais Mortos em Servico,nordeste,rio grande do norte
2014,1,Policiais Mortos em Servico,norte,rondonia
2014,0,Policiais Mortos em Servico,norte,roraima
2014,1,Policiais Mortos em Servico,sul,rio grande do sul
2014,0,Policiais Mortos em Servico,sul,santa catarina
2014,0,Policiais Mortos em Servico,nordeste,sergipe
2014,10,Policiais Mortos em Servico,sudeste,sao paulo
2014,1,Policiais Mortos em Servico,norte,tocantins
2015,0,Policiais Mortos em Servico,norte,acre
2015,2,Policiais Mortos em Servico,nordeste,alagoas
2015,0,Policiais Mortos em Servico,norte,amazonas
2015,0,Policiais Mortos em Servico,norte,amapa
2015,4,Policiais Mortos em Servico,nordeste,bahia
2015,0,Policiais Mortos em Servico,nordeste,ceara
2015,5,Policiais Mortos em Servico,centro-oeste,distrito federal
2015,0,Policiais Mortos em Servico,sudeste,espirito santo
2015,0,Policiais Mortos em Servico,centro-oeste,goias
2015,2,Policiais Mortos em Servico,nordeste,maranhao
2015,0,Policiais Mortos em Servico,sudeste,minas gerais
2015,0,Policiais Mortos em Servico,centro-oeste,mato grosso do sul
2015,1,Policiais Mortos em Servico,centro-oeste,mato grosso
2015,3,Policiais Mortos em Servico,norte,para
2015,2,Policiais Mortos em Servico,nordeste,paraiba
2015,6,Policiais Mortos em Servico,nordeste,pernambuco
2015,1,Policiais Mortos em Servico,nordeste,piaui
2015,6,Policiais Mortos em Servico,sul,parana
2015,25,Policiais Mortos em Servico,sudeste,rio de janeiro
2015,0,Policiais Mortos em Servico,nordeste,rio grande do norte
2015,1,Policiais Mortos em Servico,norte,rondonia
2015,0,Policiais Mortos em Servico,norte,roraima
2015,4,Policiais Mortos em Servico,sul,rio grande do sul
2015,0,Policiais Mortos em Servico,sul,santa catarina
2015,2,Policiais Mortos em Servico,nordeste,sergipe
2015,16,Policiais Mortos em Servico,sudeste,sao paulo
2015,0,Policiais Mortos em Servico,norte,tocantins
2016,2,Policiais Mortos em Servico,norte,acre
2016,2,Policiais Mortos em Servico,nordeste,alagoas
2016,1,Policiais Mortos em Servico,norte,amazonas
2016,0,Policiais Mortos em Servico,norte,amapa
2016,3,Policiais Mortos em Servico,nordeste,bahia
2016,9,Policiais Mortos em Servico,nordeste,ceara
2016,6,Policiais Mortos em Servico,centro-oeste,distrito federal
2016,0,Policiais Mortos em Servico,sudeste,espirito santo
2016,4,Policiais Mortos em Servico,centro-oeste,goias
2016,3,Policiais Mortos em Servico,nordeste,maranhao
2016,2,Policiais Mortos em Servico,sudeste,minas gerais
2016,0,Policiais Mortos em Servico,centro-oeste,mato grosso do sul
2016,1,Policiais Mortos em Servico,centro-oeste,mato grosso
2016,5,Policiais Mortos em Servico,norte,para
2016,3,Policiais Mortos em Servico,nordeste,paraiba
2016,1,Policiais Mortos em Servico,nordeste,pernambuco
2016,2,Policiais Mortos em Servico,nordeste,piaui
2016,4,Policiais Mortos em Servico,sul,parana
2016,40,Policiais Mortos em Servico,sudeste,rio de janeiro
2016,1,Policiais Mortos em Servico,nordeste,rio grande do norte
2016,0,Policiais Mortos em Servico,norte,rondonia
2016,0,Policiais Mortos em Servico,norte,roraima
2016,4,Policiais Mortos em Servico,sul,rio grande do sul
2016,1,Policiais Mortos em Servico,sul,santa catarina
2016,0,Policiais Mortos em Servico,nordeste,sergipe
2016,24,Policiais Mortos em Servico,sudeste,sao paulo
2016,0,Policiais Mortos em Servico,norte,tocantins
